ticker,quarter,year,priceToEarning,priceToBook,roe,roa,earningPerShare,bookValuePerShare,equityOnTotalAsset,equityOnLiability,epsChange,bookValuePerShareChange
CAN,3,2017,13.0,0.9,0.071,0.037,1666,24021.0,0.596,1.5,14.709,0.07
CAN,2,2017,206.5,1.0,0.005,0.002,106,22460.0,0.595,1.5,-0.528,-0.023
CAN,1,2017,80.9,0.8,0.009,0.005,224,22980.0,0.574,1.3,0.794,0.014
CAN,4,2016,162.8,0.9,0.005,0.003,125,22662.0,0.506,1.0,-0.917,-0.01
CAN,3,2016,16.4,1.1,0.065,0.031,1504,22884.0,0.468,0.9,-0.431,0.002
CAN,2,2016,10.3,1.2,0.118,0.06,2643,22841.0,0.476,0.9,-0.031,-0.063
CAN,1,2016,7.2,0.8,0.114,0.063,2729,24380.0,0.516,1.1,-0.032,0.013
CAN,4,2015,7.3,0.9,0.119,0.065,2821,24068.0,0.511,1.0,0.58,0.042
CAN,3,2015,11.4,0.9,0.077,0.041,1785,23093.0,0.482,0.9,0.036,0.054
CAN,2,2015,18.2,1.4,0.078,0.047,1723,21911.0,0.554,1.2,-0.433,-0.065
CAN,1,2015,7.3,0.9,0.133,0.081,3039,23424.0,0.586,1.4,-0.173,0.007
CAN,4,2014,,,0.165,0.098,3674,23269.0,0.591,1.4,-0.228,0.005
CAN,3,2014,,,0.22,0.134,4762,23147.0,0.603,1.5,0.002,0.051
CAN,2,2014,,,0.232,0.153,4750,22028.0,0.643,1.8,0.429,-0.011
CAN,1,2014,,,0.155,0.083,3324,22283.0,0.628,1.7,0.32,0.045
CAN,4,2013,,,0.122,0.062,2519,21322.0,0.596,1.5,0.412,0.06
CAN,3,2013,,,0.09,0.045,1784,20113.0,0.619,1.6,0.681,0.058
CAN,2,2013,,,0.056,0.028,1061,19005.0,0.687,2.2,-0.119,-0.075
CAN,1,2013,,,0.054,0.026,1204,20537.0,0.459,0.8,-0.467,0.029
CMV,4,2022,7.8,0.8,0.098,0.05,1311,13374.0,0.498,1.1,-0.207,0.009
CMV,3,2022,6.0,0.7,0.126,0.064,1653,13257.0,0.477,1.0,-0.087,0.006
CMV,2,2022,6.3,0.9,0.14,0.064,1810,13183.0,0.48,1.0,0.1,-0.055
CMV,1,2022,9.5,1.1,0.121,0.056,1646,13944.0,0.556,1.4,0.086,0.041
